matchDate,matchTime,timeScored,facilityNo,playerID,teamName
2022-02-27,10:00:00,02:16:00,44,P0027,Team25
2022-02-27,10:00:00,01:19:00,44,P0313,Team25
2022-02-27,10:00:00,01:31:00,44,P0344,Team25
2022-02-27,10:00:00,02:25:00,44,P0238,Team25
2022-02-27,10:00:00,01:14:00,44,P0265,Team3
2022-07-30,11:00:00,02:31:00,45,P0288,Team23
2022-07-30,11:00:00,01:36:00,45,P0093,Team23
2025-02-04,12:00:00,01:25:00,15,P0122,Team13
2025-02-04,12:00:00,02:24:00,15,P0284,Team13
2025-02-04,12:00:00,01:13:00,15,P0246,Team13
2025-02-04,12:00:00,01:05:00,15,P0253,Team15
2024-10-06,13:00:00,02:60:00,9,P0270,Team7
2024-10-06,13:00:00,02:07:00,9,P0127,Team7
2024-10-06,13:00:00,02:48:00,9,P0127,Team7
2024-10-06,13:00:00,02:54:00,9,P0350,Team1
2024-10-06,13:00:00,02:43:00,9,P0245,Team1
2024-10-06,13:00:00,02:32:00,9,P0298,Team1
2024-10-06,13:00:00,02:52:00,9,P0194,Team1
2024-10-06,13:00:00,02:35:00,9,P0254,Team1
2021-08-19,14:00:00,01:27:00,29,P0202,Team15
2021-08-19,14:00:00,02:55:00,29,P0182,Team15
2021-08-19,14:00:00,02:12:00,29,P0207,Team15
2021-08-19,14:00:00,02:02:00,29,P0145,Team15
2021-08-19,14:00:00,01:49:00,29,P0223,Team15
2021-08-19,14:00:00,02:43:00,29,P0213,Team13
2021-08-19,14:00:00,02:04:00,29,P0320,Team13
2021-08-19,14:00:00,01:57:00,29,P0152,Team13
2021-08-19,14:00:00,02:38:00,29,P0284,Team13
2021-08-19,14:00:00,02:31:00,29,P0316,Team13
2023-03-04,15:00:00,02:33:00,8,P0287,Team15
2023-03-04,15:00:00,02:13:00,8,P0169,Team15
2023-03-04,15:00:00,02:07:00,8,P0253,Team15
2021-06-02,16:00:00,02:59:00,14,P0180,Team12
2021-06-02,16:00:00,01:05:00,14,P0180,Team12
2021-06-02,16:00:00,01:22:00,14,P0298,Team1
2021-06-02,16:00:00,02:16:00,14,P0239,Team1
2020-12-28,17:00:00,01:41:00,8,P0058,Team21
2020-12-28,17:00:00,02:52:00,8,P0300,Team2
2020-12-28,17:00:00,01:57:00,8,P0185,Team2
2020-12-28,17:00:00,01:25:00,8,P0241,Team2
2020-12-28,17:00:00,01:31:00,8,P0319,Team2
2021-11-29,10:00:00,02:06:00,48,P0326,Team13
2021-11-29,10:00:00,01:41:00,48,P0122,Team13
2021-11-29,10:00:00,02:10:00,48,P0215,Team13
2021-11-29,10:00:00,01:44:00,48,P0283,Team5
2021-11-29,10:00:00,02:05:00,48,P0081,Team5
2021-11-29,10:00:00,01:16:00,48,P0102,Team5
2024-12-11,11:00:00,01:48:00,3,P0051,Team23
2024-12-11,11:00:00,02:26:00,3,P0204,Team23
2024-12-11,11:00:00,02:38:00,3,P0106,Team23
2024-12-11,11:00:00,02:51:00,3,P0345,Team23
2024-12-11,11:00:00,01:52:00,3,P0051,Team23
